rosbagTimestamp,data
1542726565022059269,''
1542726565063187019,''
1542726565084107281,''
1542726565122165585,''
1542726565175116847,''
1542726565205934389,''
1542726565228476566,''
1542726565264030422,''
1542726565313358013,''
1542726565355143956,''
1542726565407666310,''
1542726565453589831,''
1542726565470312782,''
1542726565507727806,''
1542726565557826488,''
1542726565601462142,''
1542726565643374601,''
1542726565697364491,''
1542726565740660579,''
1542726565790814588,''
1542726565840225528,''
1542726565859581920,''
1542726565894528258,''
1542726565915148842,''
1542726565956238668,''
1542726565992353602,''
1542726566047631487,''
1542726566087606029,''
1542726566108742826,''
1542726566151611054,''
1542726566212253778,''
1542726566259093979,''
1542726566352117398,''
1542726566386948612,''
1542726566410338113,''
1542726566483974396,''
1542726566547033628,''
1542726566591242489,''
1542726566636094732,''
1542726566684706941,''
1542726566702911432,''
1542726566736045211,''
1542726566785708863,''
1542726566800540767,''
1542726566852190956,''
1542726566888870041,''
1542726566940834650,''
1542726567002070504,''
1542726567041503765,''
1542726567089589615,''
1542726567133700786,''
1542726567155263461,''
1542726567186399908,''
1542726567204596587,''
1542726567247064271,''
1542726567296654448,''
1542726567353423314,''
1542726567394398629,''
1542726567438614896,''
1542726567451926805,''
1542726567496061683,''
1542726567513564185,''
1542726567549756209,''
1542726567600962071,''
1542726567658617852,''
1542726567698599453,''
1542726567740923274,''
1542726567782616517,''
1542726567839083234,''
1542726567860117535,''
1542726567900244921,''
1542726567952540569,''
1542726568008545879,''
1542726568047547765,''
1542726568082969978,''
1542726568104010073,''
1542726568161998221,''
1542726568203074851,''
1542726568250322842,''
1542726568310243586,''
1542726568353828613,''
1542726568398060612,''
1542726568447638929,''
1542726568495311200,''
1542726568555894812,''
1542726568598198903,''
1542726568636438218,''
1542726568682134737,''
1542726568730411672,''
1542726568790227343,''
1542726568832594696,''
1542726568879283441,''
1542726568930797107,''
1542726568949566583,''
1542726568993626245,''
1542726569064624469,''
1542726569113062937,''
1542726569143788563,''
1542726569183744273,''
1542726569231147551,''
1542726569286348237,''
1542726569327046100,''
1542726569378274790,''
1542726569431391097,''
1542726569468480870,''
1542726569494104366,''
1542726569576465323,''
1542726569619586568,''
1542726569748974367,"""contracted_right"""
1542726571161350955,''
1542726572590485390,''
1542726572711431920,"""contracted_right"""
1542726574134250039,''
1542726574177679084,''
1542726574224650905,''
1542726574276573955,''
1542726574319368556,''
1542726574334228196,''
1542726574355676958,''
1542726574366359145,''
1542726574380681818,''
1542726574439184550,''
1542726574474512195,''
1542726574490793367,''
1542726574525430096,''
1542726574572586736,''
1542726574593472956,''
1542726574630700488,''
1542726574679157478,''
1542726574740436478,''
1542726574785941477,''
1542726574829585301,''
1542726574877909719,''
1542726574952442650,''
1542726575006586611,''
1542726575031874115,''
1542726575077166135,''
1542726575166165344,''
1542726575209586499,''
1542726575246130138,''
1542726575289055397,''
1542726575330452092,''
1542726575370485193,''
