rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1542720469905669258,,1,,1542720469,905225992,"""world""",,,1.23155446425,0.0395867053355,1.45,,0.0,0.0,0.0,1.0
1542720469938319698,,2,,1542720469,937580108,"""world""",,,1.23050487523,0.0394038285154,1.45,,0.0,0.0,0.0,1.0
1542720469961205821,,3,,1542720469,960830926,"""world""",,,1.22968718351,0.0392066141466,1.45,,0.0,0.0,0.0,1.0
1542720469999577200,,4,,1542720469,999299049,"""world""",,,1.22900852536,0.0390415314384,1.45,,0.0,0.0,0.0,1.0
1542720470049695706,,5,,1542720470,48650979,"""world""",,,1.22900852536,0.0390415314384,1.45,,0.0,0.0,0.0,1.0
1542720470072530726,,6,,1542720470,72253942,"""world""",,,1.22778449691,0.0390913365084,1.45,,0.0,0.0,0.0,1.0
1542720470112873672,,7,,1542720470,112577915,"""world""",,,1.22727169574,0.039288484697,1.45,,0.0,0.0,0.0,1.0
1542720470162710413,,8,,1542720470,161580085,"""world""",,,1.22727169574,0.039288484697,1.45,,0.0,0.0,0.0,1.0
1542720470205411986,,9,,1542720470,204992055,"""world""",,,1.22581469622,0.0399547939897,1.45,,0.0,0.0,0.0,1.0
1542720470252513427,,10,,1542720470,252088069,"""world""",,,1.224976329,0.0402930974882,1.45,,0.0,0.0,0.0,1.0
1542720470291652374,,11,,1542720470,291141986,"""world""",,,1.22489642553,0.040395189291,1.45,,0.0,0.0,0.0,1.0
1542720470316566970,,12,,1542720470,316200017,"""world""",,,1.2244516054,0.0406424932181,1.45,,0.0,0.0,0.0,1.0
1542720470356597796,,13,,1542720470,356285095,"""world""",,,1.22400194221,0.040990038651,1.45,,0.0,0.0,0.0,1.0
1542720470441749397,,14,,1542720470,441219091,"""world""",,,1.22362605514,0.0410373105482,1.45,,0.0,0.0,0.0,1.0
1542720470466106695,,15,,1542720470,465738058,"""world""",,,1.22293693199,0.0411532523325,1.45,,0.0,0.0,0.0,1.0
1542720470504254280,,16,,1542720470,503659963,"""world""",,,1.22293693199,0.0411532523325,1.45,,0.0,0.0,0.0,1.0
1542720470549032501,,17,,1542720470,548649072,"""world""",,,1.22256199808,0.0411109337122,1.45,,0.0,0.0,0.0,1.0
1542720470604204984,,18,,1542720470,603740930,"""world""",,,1.22253228515,0.0412098078409,1.45,,0.0,0.0,0.0,1.0
1542720470621647204,,19,,1542720470,621397018,"""world""",,,1.22220523467,0.0418637154493,1.45,,0.0,0.0,0.0,1.0
1542720470660274343,,20,,1542720470,659863948,"""world""",,,1.22220523467,0.0418637154493,1.45,,0.0,0.0,0.0,1.0
1542720470703487625,,21,,1542720470,703099966,"""world""",,,1.2221462781,0.0421553376949,1.45,,0.0,0.0,0.0,1.0
1542720470729886885,,22,,1542720470,729485988,"""world""",,,1.2222730766,0.0426559250838,1.45,,0.0,0.0,0.0,1.0
1542720470750699286,,23,,1542720470,750435113,"""world""",,,1.22205602845,0.0429991954233,1.45,,0.0,0.0,0.0,1.0
1542720470805802640,,24,,1542720470,805543899,"""world""",,,1.22205602845,0.0429991954233,1.45,,0.0,0.0,0.0,1.0
1542720470843828583,,25,,1542720470,843420982,"""world""",,,1.22238067697,0.0431036875443,1.45,,0.0,0.0,0.0,1.0
1542720470884948566,,26,,1542720470,884701013,"""world""",,,1.22252077819,0.0430726779274,1.45,,0.0,0.0,0.0,1.0
1542720470907033136,,27,,1542720470,906629085,"""world""",,,1.22284165242,0.0430030891596,1.45,,0.0,0.0,0.0,1.0
1542720470948304956,,28,,1542720470,947695016,"""world""",,,1.223112435,0.042914727174,1.45,,0.0,0.0,0.0,1.0
1542720470992540373,,29,,1542720470,991842031,"""world""",,,1.223112435,0.042914727174,1.45,,0.0,0.0,0.0,1.0
1542720471076110827,,30,,1542720471,75216054,"""world""",,,1.22348897559,0.0428888916137,1.45,,0.0,0.0,0.0,1.0
1542720471098785260,,31,,1542720471,98337888,"""world""",,,1.22375631538,0.0427045321239,1.45,,0.0,0.0,0.0,1.0
1542720471137193142,,32,,1542720471,136295080,"""world""",,,1.22375631538,0.0427045321239,1.45,,0.0,0.0,0.0,1.0
1542720471187946358,,33,,1542720471,187613964,"""world""",,,1.22371669141,0.0425635387672,1.45,,0.0,0.0,0.0,1.0
1542720471236608206,,34,,1542720471,236344099,"""world""",,,1.22365301363,0.0421624203144,1.45,,0.0,0.0,0.0,1.0
1542720471293012882,,35,,1542720471,292582988,"""world""",,,1.22369863333,0.0415403153812,1.45,,0.0,0.0,0.0,1.0
1542720471336905405,,36,,1542720471,336304903,"""world""",,,1.22369863333,0.0415403153812,1.45,,0.0,0.0,0.0,1.0
1542720471385380777,,37,,1542720471,385104894,"""world""",,,1.22392456043,0.0413226416638,1.45,,0.0,0.0,0.0,1.0
1542720471446453871,,38,,1542720471,446053028,"""world""",,,1.22360117533,0.0410525052738,1.45,,0.0,0.0,0.0,1.0
1542720471487315114,,39,,1542720471,486129045,"""world""",,,1.22372082206,0.0407404255043,1.45,,0.0,0.0,0.0,1.0
1542720471535743715,,40,,1542720471,535398960,"""world""",,,1.22366090481,0.0406726065513,1.45,,0.0,0.0,0.0,1.0
1542720471585007801,,41,,1542720471,584734916,"""world""",,,1.22376700374,0.0406557975469,1.45,,0.0,0.0,0.0,1.0
1542720471604772106,,42,,1542720471,603749990,"""world""",,,1.22371134432,0.0405823750864,1.45,,0.0,0.0,0.0,1.0
1542720471647000569,,43,,1542720471,646749019,"""world""",,,1.22381185892,0.0406437805265,1.45,,0.0,0.0,0.0,1.0
1542720471692490245,,44,,1542720471,692073106,"""world""",,,1.22402104362,0.04052522851,1.45,,0.0,0.0,0.0,1.0
1542720471744123252,,45,,1542720471,743840932,"""world""",,,1.22400199954,0.0405071346976,1.45,,0.0,0.0,0.0,1.0
1542720471786161482,,46,,1542720471,785814046,"""world""",,,1.22400199954,0.0405071346976,1.45,,0.0,0.0,0.0,1.0
1542720471831314499,,47,,1542720471,830827951,"""world""",,,1.22412167096,0.0403958548117,1.45,,0.0,0.0,0.0,1.0
1542720471847319193,,48,,1542720471,846944093,"""world""",,,1.22416381146,0.0402290514628,1.45,,0.0,0.0,0.0,1.0
1542720471880079470,,49,,1542720471,879849910,"""world""",,,1.22451727242,0.040041769577,1.45,,0.0,0.0,0.0,1.0
1542720471928076501,,50,,1542720471,927536964,"""world""",,,1.22451727242,0.040041769577,1.45,,0.0,0.0,0.0,1.0
1542720471950714802,,51,,1542720471,950171947,"""world""",,,1.22470755984,0.0395043758867,1.45,,0.0,0.0,0.0,1.0
1542720471991134478,,52,,1542720471,990665912,"""world""",,,1.22500435201,0.0393478042409,1.45,,0.0,0.0,0.0,1.0
1542720472030353616,,53,,1542720472,30055999,"""world""",,,1.22500435201,0.0393478042409,1.45,,0.0,0.0,0.0,1.0
1542720472081553428,,54,,1542720472,80881118,"""world""",,,1.22486184109,0.0390632089972,1.45,,0.0,0.0,0.0,1.0
1542720472126569012,,55,,1542720472,126208066,"""world""",,,1.22524912976,0.0387561414858,1.45,,0.0,0.0,0.0,1.0
1542720472173166167,,56,,1542720472,172898054,"""world""",,,1.225269181,0.0384708506972,1.45,,0.0,0.0,0.0,1.0
1542720472227815376,,57,,1542720472,227528095,"""world""",,,1.22539672168,0.0383571185851,1.45,,0.0,0.0,0.0,1.0
1542720472251532588,,58,,1542720472,251250028,"""world""",,,1.22568567145,0.0382385736869,1.45,,0.0,0.0,0.0,1.0
1542720472275211201,,59,,1542720472,274879932,"""world""",,,1.22534319129,0.0381804293285,1.45,,0.0,0.0,0.0,1.0
1542720472316224592,,60,,1542720472,315905094,"""world""",,,1.22534319129,0.0381804293285,1.45,,0.0,0.0,0.0,1.0
1542720472367705060,,61,,1542720472,367283105,"""world""",,,1.2255251841,0.0379801114137,1.45,,0.0,0.0,0.0,1.0
1542720472389609624,,62,,1542720472,389380931,"""world""",,,1.22542657927,0.0378203255482,1.45,,0.0,0.0,0.0,1.0
1542720472433809459,,63,,1542720472,433485984,"""world""",,,1.22542657927,0.0378203255482,1.45,,0.0,0.0,0.0,1.0
1542720472491981362,,64,,1542720472,491532087,"""world""",,,1.22496671801,0.037504803808,1.45,,0.0,0.0,0.0,1.0
1542720472523597977,,65,,1542720472,523252010,"""world""",,,1.22500353508,0.0374809141461,1.45,,0.0,0.0,0.0,1.0
1542720472546234303,,66,,1542720472,545772075,"""world""",,,1.22445345565,0.0374300181399,1.45,,0.0,0.0,0.0,1.0
1542720472585166693,,67,,1542720472,584914922,"""world""",,,1.22435031029,0.0371354816297,1.45,,0.0,0.0,0.0,1.0
1542720472637003804,,68,,1542720472,636732101,"""world""",,,1.22435031029,0.0371354816297,1.45,,0.0,0.0,0.0,1.0
1542720472677427654,,69,,1542720472,676928997,"""world""",,,1.22364620228,0.0366615795194,1.45,,0.0,0.0,0.0,1.0
1542720472721293529,,70,,1542720472,720823049,"""world""",,,1.22353843202,0.0364639401877,1.45,,0.0,0.0,0.0,1.0
1542720472733952503,,71,,1542720472,733589887,"""world""",,,1.22309957548,0.0360590866522,1.45,,0.0,0.0,0.0,1.0
1542720472784992948,,72,,1542720472,784694910,"""world""",,,1.22309957548,0.0360590866522,1.45,,0.0,0.0,0.0,1.0
1542720472802971182,,73,,1542720472,802700042,"""world""",,,1.22267438939,0.0360699802959,1.45,,0.0,0.0,0.0,1.0
1542720472844772428,,74,,1542720472,844032049,"""world""",,,1.22260622339,0.0362505676161,1.45,,0.0,0.0,0.0,1.0
1542720472926304859,,75,,1542720472,925981044,"""world""",,,1.22260622339,0.0362505676161,1.45,,0.0,0.0,0.0,1.0
1542720472981806230,,76,,1542720472,981256008,"""world""",,,1.22206015018,0.036920038016,1.45,,0.0,0.0,0.0,1.0
1542720473002613430,,77,,1542720473,2281904,"""world""",,,1.2215077897,0.037018794194,1.45,,0.0,0.0,0.0,1.0
1542720473044388724,,78,,1542720473,43885946,"""world""",,,1.22130606992,0.0368739616892,1.45,,0.0,0.0,0.0,1.0
1542720473121156683,,79,,1542720473,112804889,"""world""",,,1.22130606992,0.0368739616892,1.45,,0.0,0.0,0.0,1.0
1542720473151908547,,80,,1542720473,151628971,"""world""",,,1.22049473182,0.0363019046454,1.45,,0.0,0.0,0.0,1.0
1542720473191569453,,81,,1542720473,191020965,"""world""",,,1.22028316197,0.0365031825165,1.45,,0.0,0.0,0.0,1.0
1542720473236641779,,82,,1542720473,236216068,"""world""",,,1.22028316197,0.0365031825165,1.45,,0.0,0.0,0.0,1.0
