rosbagTimestamp,data
1542728550309824631,''
1542728550370802666,''
1542728550416139305,''
1542728550455741397,''
1542728550504358562,''
1542728550546959885,''
1542728550569290908,''
1542728550613058124,''
1542728550673358877,''
1542728550717077317,''
1542728550804002911,''
1542728550820349416,''
1542728550844353084,''
1542728550864732916,''
1542728550907267686,''
1542728550954306912,''
1542728550975999152,''
1542728551010625191,''
1542728551048737998,''
1542728551101318036,''
1542728551123809982,''
1542728551165026210,''
1542728551212412801,''
1542728551263296497,''
1542728551304302626,''
1542728551347382846,''
1542728551404703871,''
1542728551423322023,''
1542728551461137580,''
1542728551506269119,''
1542728551553845620,''
1542728551566080364,''
1542728551596078827,''
1542728551644086406,''
1542728551664613772,''
1542728551723051797,''
1542728551761582954,''
1542728551806411274,''
1542728551863409182,''
1542728551903783089,''
1542728551945707951,''
1542728551997500164,''
1542728552021185803,''
1542728552056373998,''
1542728552106683922,''
1542728552161631372,''
1542728552180891393,''
1542728552224108033,''
1542728552270713703,''
1542728552355996973,''
1542728552377335766,''
1542728552420390630,''
1542728552465172819,''
1542728552521028934,''
1542728552561391791,''
1542728552605124120,''
1542728552657703151,''
1542728552699620638,''
1542728552720370087,''
1542728552753784168,''
1542728552789822205,''
1542728552836504388,''
1542728552884366105,''
1542728552933909472,''
1542728552956041644,''
1542728553000412881,''
1542728553045207875,''
1542728553096356045,''
1542728553132027318,''
1542728553152039046,''
1542728553229316841,''
1542728553253954358,''
1542728553296571056,''
1542728553342872715,''
1542728553406328278,''
1542728553449338417,''
1542728553495125009,''
1542728553557393885,''
1542728553601546860,''
1542728553655969862,''
1542728553677627788,''
1542728553712665323,''
1542728553762228321,''
1542728553820492947,''
1542728553861370682,''
1542728553906328655,''
1542728553919613100,''
1542728553955351760,''
1542728553996624124,''
1542728554010765531,''
1542728554048702232,''
1542728554068765885,''
1542728554107366552,''
1542728554154056222,''
1542728554202147053,''
1542728554246115611,''
1542728554299200068,''
1542728554340868310,''
1542728554381416665,''
1542728554423204729,''
1542728554473787784,''
1542728554516512319,''
1542728554539043057,''
1542728554580086236,''
1542728554618984215,''
1542728554671926895,''
1542728554688754953,''
1542728554719553716,''
1542728554767565109,''
1542728554825041311,''
1542728554866335752,''
1542728554918486168,''
1542728554982630895,''
1542728555022971488,''
1542728555068455223,''
1542728555123594446,''
1542728555145005635,''
1542728555292532369,"""contracted_left"""
1542728556744864750,''
1542728556885313620,"""contracted_left"""
1542728558290435760,''
1542728558432853277,"""contracted_left"""
1542728559879999061,''
1542728560022778263,"""contracted_left"""
1542728561460912052,''
1542728561540484081,''
1542728561610379234,''
1542728561656642956,''
1542728561741214512,''
1542728561812624978,''
1542728561892446714,''
1542728561946675358,''
1542728561988998186,''
1542728562033433520,''
1542728562090845868,''
1542728562141278706,''
1542728562189778616,''
1542728562260214251,''
1542728562333715506,''
1542728562396696248,''
1542728562483400380,''
1542728562541563834,''
1542728562604041645,''
1542728562654631800,''
1542728562731643830,''
1542728562787718052,''
1542728562834043611,''
1542728562887111504,''
1542728562924875490,''
1542728562941613144,''
1542728562980993570,''
1542728562998444130,''
1542728563023673785,''
1542728563039335274,''
1542728563092029489,''
1542728563136995212,''
1542728563235762226,''
1542728563279748580,''
1542728563323970419,''
1542728563374646350,''
1542728563422052581,''
1542728563473627391,''
1542728563544837798,''
1542728563621008336,''
1542728563650979442,''
1542728563679430869,''
1542728563737675004,''
1542728563820740832,''
1542728563878666905,''
1542728563922946229,''
1542728563973631565,''
1542728564031009226,''
1542728564067131188,''
1542728564117944112,''
1542728564177719370,''
1542728564225107333,''
1542728564274409595,''
1542728564327659567,''
1542728564374098991,''
1542728564433161594,''
1542728564514000660,''
1542728564570309112,''
1542728564628479294,''
1542728564677174973,''
1542728564729970205,''
1542728564818988475,''
1542728564846306865,''
1542728564919980999,''
1542728564976759878,''
1542728565034027419,''
