rosbagTimestamp,data
1542725142467911271,''
1542725142540629408,''
1542725142625136095,''
1542725142697349671,''
1542725142771650278,''
1542725142830838328,''
1542725142877039163,''
1542725142924242655,''
1542725142978656256,''
1542725143025273721,''
1542725143077616857,''
1542725143120731988,''
1542725143179650778,''
1542725143228290763,''
1542725143282376424,''
1542725143336038525,''
1542725143428641132,''
1542725143479959587,''
1542725143533017525,''
1542725143597729031,''
1542725143673999542,''
1542725143733731965,''
1542725143759979493,''
1542725143809987475,''
1542725143896686275,''
1542725143939366315,''
1542725143993427921,''
1542725144047950163,''
1542725144104148839,''
1542725144131799177,''
1542725144146236357,''
1542725144187282641,''
1542725144249476460,''
1542725144297730865,''
1542725144348574178,''
1542725144389343763,''
1542725144417227408,''
1542725144489515954,''
1542725144553851248,''
1542725144598795718,''
1542725144642069640,''
1542725144698459367,''
1542725144746115831,''
1542725144802566485,''
1542725144867771535,''
1542725144943281935,''
1542725144991892159,''
1542725145048851633,''
1542725145094932484,''
1542725145149548257,''
1542725145214144338,''
1542725145285670999,''
1542725145357410331,''
1542725145405076792,''
1542725145494890322,''
1542725145520040817,''
1542725145565447353,''
1542725145649094506,''
1542725145705208414,''
1542725145793384177,''
1542725145845681423,''
1542725145898687967,''
1542725145985834452,''
1542725146043853650,''
1542725146113961173,''
1542725146162740479,''
1542725146238993614,''
1542725146295584692,''
1542725146343096547,''
1542725146393593026,''
1542725146474749801,''
1542725146528312829,''
1542725146565980572,''
1542725146618430348,''
1542725146684955257,''
1542725146740360142,''
1542725146788292010,''
1542725146870172644,''
1542725146920911822,''
1542725146977289592,''
1542725147025835391,''
1542725147075864416,''
1542725147132200490,''
1542725147199432111,''
1542725147243122678,''
1542725147326784233,''
1542725147385094420,''
1542725147436210382,''
1542725147490032881,''
1542725147544924774,''
1542725147595784130,''
1542725147669985331,''
1542725147737500820,''
1542725147785361342,''
1542725147844415323,''
1542725147935544998,''
1542725147981442450,''
1542725148038239245,''
1542725148136159057,''
1542725148181372997,''
1542725148220889907,''
1542725148275974125,''
1542725148334532295,''
1542725148382750767,''
1542725148437424011,''
1542725148515417566,''
1542725148551739244,''
1542725148567630312,''
1542725148626687718,''
1542725148672072198,''
1542725148763369617,''
1542725148801751160,''
1542725148817868638,''
1542725148842531768,''
1542725148855005309,''
1542725148867928335,''
1542725148903672514,''
1542725148925967240,''
1542725148970686116,''
1542725149019816089,''
1542725149069441605,''
1542725149084764185,''
1542725149120247101,''
1542725149173103781,''
1542725149255857400,''
1542725149313219067,''
1542725149388094413,''
1542725149472020314,''
1542725149521759541,''
1542725149575449284,''
1542725149634876389,''
1542725149681763170,''
1542725149738713374,''
1542725149801504820,''
1542725149870629937,''
1542725149938871420,''
1542725149986821503,''
1542725150043414571,''
1542725150129607873,''
1542725150177994733,''
1542725150222680338,''
1542725150283053500,''
1542725150330807353,''
1542725150478771986,"""contracted_left"""
1542725151914686244,''
1542725153321624729,''
1542725153377216862,''
1542725153416805886,''
1542725153462551358,''
1542725153508385751,''
1542725153523280500,''
1542725153552855380,''
1542725153575987689,''
1542725153686333467,''
1542725153819211432,''
1542725153867516963,''
1542725153894948078,''
1542725153934963971,''
1542725153984414075,''
1542725154032794549,''
1542725154131965243,''
1542725154188232119,''
1542725154273421751,''
1542725154323933568,''
1542725154375444527,''
1542725154434272388,''
1542725154482527772,''
1542725154537357578,''
1542725154595153420,''
1542725154646101690,''
1542725154722242331,''
1542725154767734016,''
1542725154835634394,''
1542725154877812675,''
1542725154918859781,''
1542725154972074524,''
1542725156422011669,''
1542725156531683470,"""contracted_left"""
1542725157965839761,''
1542725158024723866,''
1542725158107504510,''
1542725158153467920,''
1542725158198813145,''
1542725158286996408,''
1542725158351192951,''
1542725158394313903,''
1542725158440201539,''
1542725158506014697,''
1542725158555961053,''
1542725158649320030,''
1542725158694682032,''
1542725158743422513,''
1542725158793444834,''
1542725158865872485,''
1542725158944366615,''
1542725158999338279,''
1542725159089764202,''
1542725159143414460,''
1542725159209561752,''
1542725159290280977,''
1542725159336766245,''
1542725159396640335,''
1542725159443464890,''
1542725159496333059,''
1542725159559747156,''
1542725159636090847,''
1542725159696965294,''
1542725159839543392,"""contracted_right"""
1542725161287494457,''
1542725161350319456,''
1542725161395227970,''
1542725161441408284,''
1542725161494339989,''
1542725161544773173,''
1542725161586065252,''
1542725161634377981,''
1542725161652144126,''
1542725161702167763,''
1542725161747329171,''
1542725161799431786,''
1542725161863379480,''
1542725161889274252,''
1542725161970376729,''
1542725161999617105,''
1542725162093637244,''
1542725162142387699,''
1542725162194367003,''
1542725162262010497,''
1542725162338363228,''
1542725162387968919,''
1542725162431860648,''
1542725162456784996,''
1542725162548768109,''
1542725162594967240,''
1542725162649320568,''
1542725162739939539,''
1542725162796742352,''
1542725162869569471,''
1542725162944573994,''
1542725162999147313,''
