rosbagTimestamp,data
1542720469908120856,''
1542720469943160013,''
1542720469967022549,''
1542720470004383977,''
1542720470053532719,''
1542720470091628883,''
1542720470116900709,''
1542720470188765304,''
1542720470230598657,''
1542720470258667327,''
1542720470295866298,''
1542720470345214810,''
1542720470365452566,''
1542720470447207200,''
1542720470468421007,''
1542720470507187781,''
1542720470554253256,''
1542720470607957450,''
1542720470623786901,''
1542720470663872035,''
1542720470706578786,''
1542720470733368435,''
1542720470754637501,''
1542720470809913656,''
1542720470848162095,''
1542720470888511295,''
1542720470912395645,''
1542720470950794622,''
1542720470996597963,''
1542720471081379402,''
1542720471101166925,''
1542720471141573828,''
1542720471192627821,''
1542720471273827837,''
1542720471298631992,''
1542720471341250632,''
1542720471389830800,''
1542720471449656467,''
1542720471491358937,''
1542720471539251696,''
1542720471588552738,''
1542720471628882031,''
1542720471674231270,''
1542720471720234924,''
1542720471748915272,''
1542720471793172188,''
1542720471833880703,''
1542720471861624095,''
1542720471882811676,''
1542720471932081318,''
1542720471971827784,''
1542720471993730007,''
1542720472034748076,''
1542720472084598626,''
1542720472130260174,''
1542720472176887731,''
1542720472230383524,''
1542720472256723967,''
1542720472279493314,''
1542720472320021095,''
1542720472373402908,''
1542720472392145181,''
1542720472437939925,''
1542720472494515716,''
1542720472528795334,''
1542720472573179868,''
1542720472587337408,''
1542720472642050450,''
1542720472682096874,''
1542720472723359927,''
1542720472735633240,''
1542720472788261326,''
1542720472823205614,''
1542720472848778614,''
1542720472930671060,''
1542720472987041714,''
1542720473004939891,''
1542720473048038404,''
1542720473133220188,''
1542720473173504047,''
1542720473194687906,''
1542720473239439227,''
1542720473290635656,''
1542720473331896612,''
1542720473375865161,''
1542720473427931076,''
1542720473446088698,''
1542720473478288292,''
1542720473494087812,''
1542720473566230478,''
1542720473599251430,''
1542720473643848864,''
1542720473691227284,''
1542720473740347199,''
1542720473795551951,''
1542720473831669490,''
1542720473851574555,''
1542720473917136219,''
1542720473978630588,''
1542720474000802025,''
1542720474033163814,''
1542720474076439591,''
1542720474096913941,''
1542720474147739946,''
1542720474186242814,''
1542720474232407416,''
1542720474269492307,''
1542720474288706762,''
1542720474333947655,''
1542720474353280328,''
1542720474392492740,''
1542720474435825808,''
1542720474487828487,''
1542720474525958375,''
1542720474568266500,''
1542720474587941007,''
1542720474636699592,''
1542720474653943466,''
1542720474691151375,''
1542720474734265351,''
1542720474768634873,''
1542720474787741447,''
1542720474842296330,''
1542720474881829377,''
1542720474896177485,''
1542720474933920761,''
1542720474976054066,''
1542720475079644511,''
1542720475139832287,''
1542720475249908785,''
1542720475309051899,''
1542720475348956858,''
1542720475399128593,''
1542720475439082611,''
1542720475493645857,''
1542720475520601800,''
1542720475591211907,''
1542720475649171091,''
1542720475691816556,''
1542720475742800673,''
1542720475797292703,''
1542720475852511588,''
1542720475895847850,''
1542720475938730633,''
1542720475996369173,''
1542720476042703390,''
1542720476095771783,''
1542720476142420858,''
1542720476215434078,''
1542720476291249036,''
1542720476357555118,''
1542720476412812436,''
1542720476485158200,''
1542720476540723600,''
1542720476601013973,''
1542720476670323833,''
1542720476745933113,''
1542720476801891187,''
1542720476886315325,''
1542720476936778571,''
1542720476993575215,''
1542720477051399280,''
1542720477100137731,''
1542720477154960146,''
1542720477236338320,''
1542720477294041609,''
1542720477365800718,''
1542720477420665770,''
1542720477484860450,''
1542720477558472304,''
1542720477576498038,''
1542720477633514625,''
1542720477679564915,''
1542720477757458720,''
1542720477824173401,''
1542720477855040315,''
1542720477899646827,''
1542720477951799914,''
1542720478003995650,''
1542720478066481369,''
1542720478138550287,''
1542720478204368553,''
1542720478253026998,''
1542720478307732436,''
1542720478368339794,''
1542720478437889232,''
1542720478490942840,''
1542720478543361916,''
1542720478605660095,''
1542720478647665350,''
1542720478701799440,''
1542720478751796776,''
1542720478815263060,''
1542720478856903713,''
1542720478892590479,''
1542720478948770128,''
1542720478991847628,''
1542720479021509542,''
1542720479099747054,''
1542720479162196597,''
1542720479210174922,''
1542720479269325107,''
1542720479323974379,''
1542720479357492731,''
1542720479406812074,''
1542720479466570649,''
1542720479515489643,''
1542720479555590463,''
1542720479615166350,''
1542720479660715445,''
1542720479721796528,''
1542720479810380355,''
1542720479868424440,''
1542720479916026477,''
1542720479983828132,''
1542720480061067212,''
1542720480109226477,''
1542720480251803860,"""contracted_right"""
1542720481664191443,''
1542720481800559508,"""contracted_right"""
1542720483205706386,''
1542720483287653681,''
1542720483349061343,''
1542720483400158345,''
1542720483455295425,''
1542720483538422423,''
1542720483558078150,''
1542720483602053835,''
1542720483647581197,''
1542720483722710011,''
1542720483776651840,''
1542720483825703968,''
1542720483877858695,''
1542720483935754214,''
1542720483982330007,''
1542720484039076251,''
1542720484100633913,''
1542720484179634360,''
1542720484245636178,''
1542720484296713588,''
1542720484387521489,''
1542720484436165872,''
1542720484579221082,"""contracted_right"""
1542720485986306226,''
1542720486112960697,"""contracted_right"""
1542720487535194023,''
1542720487662586839,"""contracted_right"""
1542720489092109721,''
1542720489152904615,''
1542720489197719839,''
1542720489244375826,''
1542720489334375937,''
1542720489378686929,''
1542720489429143846,''
1542720489499342004,''
1542720489579157211,''
1542720489641804105,''
1542720489721865902,''
1542720489782711418,''
1542720489835233021,''
1542720489887284843,''
1542720489970564498,''
1542720490020830943,''
1542720490080504224,''
1542720490127392002,''
1542720490176494641,''
1542720490236222901,''
1542720490275146640,''
1542720490327764768,''
1542720491732195556,''
1542720491870456882,"""extended_right"""
1542720492728374008,''
1542720492869313779,"""extended_right"""
1542720493719132263,''
1542720493915578788,"""contracted_right"""
1542720495341306014,''
1542720495482815744,"""contracted_right"""
1542720496888608922,''
1542720496944405346,''
1542720497030839550,''
1542720497076146973,''
1542720497132922528,''
1542720497222237411,''
1542720497275994734,''
1542720497318878235,''
1542720497365007795,''
1542720497430511147,''
1542720497477916106,''
1542720497526851565,''
1542720497594048276,''
1542720498998125758,''
