rosbagTimestamp,data
1542726976435672670,''
1542726976509415759,''
1542726976561153865,''
1542726976589697279,''
1542726976613389167,''
1542726976665753692,''
1542726976711739119,''
1542726976757419807,''
1542726976807687509,''
1542726976879691135,''
1542726976939599140,''
1542726976983071099,''
1542726977004589822,''
1542726977090912350,''
1542726977140716019,''
1542726977186201073,''
1542726977238542017,''
1542726977286292975,''
1542726977384381890,''
1542726977483607881,''
1542726977505288366,''
1542726977553611837,''
1542726977642220192,''
1542726977688185031,''
1542726977757374354,''
1542726977819552247,''
1542726977846249727,''
1542726977890744483,''
1542726977935152037,''
1542726977958166568,''
1542726978006720551,''
1542726978095380571,''
1542726978135361736,''
1542726978173410573,''
1542726978226338484,''
1542726978292865919,''
1542726978364128663,''
1542726978430697976,''
1542726978476039249,''
1542726978534563908,''
1542726978618803210,''
1542726978678523769,''
1542726978771811021,''
1542726978814869974,''
1542726978870849952,''
1542726978935475667,''
1542726978983414442,''
1542726979064033491,''
1542726979125903634,''
1542726979168909715,''
1542726979224899370,''
1542726979296562399,''
1542726979374009354,''
1542726979441732247,''
1542726979487429878,''
1542726979531214056,''
1542726979584661521,''
1542726979630643721,''
1542726979715301403,''
1542726979769291778,''
1542726979792835762,''
1542726979836224048,''
1542726979885049543,''
1542726979971643756,''
1542726980022814905,''
1542726980110255160,''
1542726980161678777,''
1542726980216275142,''
1542726980282019237,''
1542726980347667015,''
1542726980400588628,''
1542726980451364775,''
1542726980503668841,''
1542726980557404682,''
1542726980608676816,''
1542726980660490036,''
1542726980713640521,''
1542726980773820236,''
1542726980823872622,''
1542726980903871170,''
1542726980974880297,''
1542726981047111726,''
1542726981067623697,''
1542726981155522327,''
1542726981210518783,''
1542726981262302183,''
1542726981349457701,''
1542726981406741550,''
1542726981495340156,''
1542726981554160422,''
1542726981622980692,''
1542726981697443048,''
1542726981769258582,''
1542726981818270999,''
1542726981910738076,''
1542726981958722600,''
1542726982015013952,''
1542726982096818290,''
1542726982150400417,''
1542726982201983455,''
1542726982267731918,''
1542726982313781094,''
1542726982365305616,''
1542726982452565011,''
1542726982505363404,''
1542726982558729662,''
1542726982611913662,''
1542726982658299636,''
1542726982717804783,''
1542726982812862445,''
1542726982860366460,''
1542726982913538814,''
1542726982999486973,''
1542726983055688343,''
1542726983102353413,''
1542726983153096066,''
1542726983218804956,''
1542726983263282080,''
1542726983313604646,''
1542726983358426383,''
1542726983416718453,''
1542726983459142740,''
1542726983514962324,''
1542726983577624080,''
1542726983629628561,''
1542726983667243513,''
1542726983683038414,''
1542726983724243020,''
1542726983765298757,''
1542726983782602152,''
1542726983816255576,''
1542726983866990189,''
1542726983911882259,''
1542726983965639861,''
1542726984086612249,"""contracted_right"""
1542726985508863992,''
1542726985643478313,"""contracted_right"""
1542726987094998792,''
1542726987244073164,"""contracted_right"""
1542726988725927352,''
1542726988866794610,"""contracted_right"""
1542726990334715200,''
1542726990473383068,"""contracted_right"""
1542726991879690309,''
1542726992016704047,"""contracted_right"""
1542726993421073018,''
1542726993440212470,''
1542726993528849163,''
1542726993581568653,''
1542726993636063124,''
1542726993730987185,''
1542726993778677078,''
1542726993865106346,''
1542726993892973645,''
1542726993940494143,''
1542726994035755482,''
1542726994085280235,''
1542726994180286913,''
1542726994224781388,''
1542726994280792052,''
1542726994367982654,''
1542726994417676051,''
1542726994470303159,''
1542726994509270951,''
1542726994567022868,''
1542726994626901342,''
1542726994673790463,''
1542726994724923568,''
1542726994778045850,''
1542726994825825543,''
1542726994877894282,''
1542726994931783082,''
1542726995017149842,''
1542726995071657127,''
1542726995152691805,''
1542726995200873138,''
1542726995256819046,''
1542726995315237337,''
1542726995364049278,''
1542726995458675590,''
1542726995503287204,''
1542726995556256163,''
1542726995601751765,''
1542726995623833499,''
1542726995666624588,''
1542726995744181945,''
1542726995796284364,''
1542726995863046896,''
1542726995899198695,''
1542726995952559966,''
1542726996006514437,''
1542726996054343729,''
1542726996098948865,''
1542726997526711338,''
1542726997671620835,"""contracted_left"""
1542726999082715885,''
1542726999214418138,"""contracted_left"""
1542727000669551132,''
1542727002113994488,''
1542727002166178388,''
1542727002220898050,''
1542727002270320891,''
1542727002325564074,''
1542727002394463212,''
1542727002465526416,''
1542727002530517880,''
1542727002579766800,''
1542727002631794409,''
1542727002728942985,''
1542727002778485796,''
1542727002832643071,''
1542727002919160640,''
1542727002973546580,''
1542727003023565190,''
1542727003071846931,''
1542727003132198258,''
1542727003214064330,''
1542727003241376097,''
1542727003329172141,''
1542727003375282383,''
1542727003427009771,''
1542727003491992776,''
1542727003570533275,''
1542727003628483837,''
1542727003676443139,''
1542727003724891104,''
1542727003818566192,''
1542727003880958811,''
1542727003925689873,''
1542727003985918861,''
1542727004036461273,''
1542727004132132394,''
1542727004180119685,''
1542727004276847025,''
1542727004325304388,''
1542727004416987171,''
1542727004467662587,''
1542727004516534810,''
1542727004587013231,''
1542727004634989166,''
1542727004730127498,''
1542727004782768705,''
1542727004868369837,''
1542727004925288010,''
1542727004974091602,''
1542727005027186450,''
1542727005115671717,''
1542727005169811257,''
1542727005233095422,''
1542727005318500349,''
1542727005375095942,''
1542727005439793947,''
1542727005488594628,''
1542727005578730910,''
1542727005622047663,''
1542727005678988508,''
1542727005742522067,''
1542727005792648786,''
1542727005885989722,''
1542727005936993313,''
1542727006024317590,''
1542727006115933020,''
1542727006172211819,''
1542727006227900371,''
1542727006273866068,''
1542727006299735370,''
1542727006373851698,''
1542727006447065004,''
1542727006525333319,''
1542727006580025983,''
1542727006669975402,''
1542727006726351797,''
1542727006797166909,''
1542727006869063531,''
1542727006929003287,''
1542727006947946256,''
1542727006987085611,''
1542727007069202089,''
1542727007131295364,''
1542727007172855083,''
1542727007229263995,''
1542727007286219412,''
1542727007332796999,''
1542727007428566712,''
1542727007481179641,''
1542727007577816838,''
1542727007623300056,''
1542727007670359859,''
1542727007727813335,''
1542727007804484328,''
1542727007862983386,''
1542727007915353483,''
1542727007967677408,''
1542727008053632178,''
1542727008110189157,''
1542727008176119203,''
1542727008242718825,''
1542727008315451727,''
1542727008362366617,''
1542727008414440782,''
1542727008480361137,''
1542727008557111243,''
1542727008648593830,''
1542727008679599968,''
1542727008753259695,''
1542727008805453006,''
1542727008872987514,''
1542727008945372766,''
1542727008994248392,''
1542727009042753727,''
1542727009075169488,''
1542727009134317806,''
1542727009185735965,''
1542727009230516812,''
1542727009291446468,''
1542727009377646136,''
1542727009469310448,''
1542727009524015083,''
1542727009577190167,''
1542727009621224469,''
1542727009643738260,''
1542727009716805109,''
1542727009776281734,''
1542727009820912227,''
1542727009876108032,''
1542727009934085470,''
1542727009986120993,''
1542727010080721723,''
1542727010128478322,''
1542727010181130871,''
1542727010272817255,''
1542727010300270009,''
1542727010376893512,''
1542727010432137268,''
1542727010497020594,''
1542727010569303295,''
1542727010642601913,''
1542727010721589070,''
1542727010781477617,''
1542727010827450301,''
1542727010883005393,''
1542727010977260228,''
1542727011029594085,''
1542727011086456456,''
1542727011172584663,''
1542727011219701278,''
1542727011274884629,''
1542727011308608483,''
1542727011334226602,''
1542727011426159746,''
1542727011472222140,''
1542727011526018791,''
1542727011609159029,''
1542727011677744534,''
1542727011822591839,"""extended_left"""
1542727012646623710,''
1542727013484624231,''
1542727014324526695,''
1542727015161169248,''
1542727015967283037,''
1542727016025750678,''
1542727016122133282,''
1542727016171471251,''
1542727016223414789,''
1542727016315279649,''
1542727016368323866,''
1542727016436393836,''
1542727016485278940,''
1542727016566443547,''
1542727016622911702,''
1542727016665832337,''
1542727016718648072,''
1542727016778601509,''
1542727016818294361,''
1542727016872141078,''
1542727016939771756,''
1542727016988688335,''
1542727017068186944,''
1542727017162176559,''
1542727017221329412,''
1542727017316854040,''
1542727018174175670,''
1542727018987686216,''
1542727019830455229,''
1542727020687417933,''
1542727020820934074,"""contracted_left"""
1542727022224821360,''
1542727022368911394,"""contracted_left"""
1542727023777025471,''
1542727023913849436,"""contracted_left"""
1542727025352979539,''
1542727025498957235,"""contracted_left"""
1542727026916761655,''
1542727026977999742,''
1542727027049000923,''
1542727027129841163,''
1542727027195672514,''
1542727027242712389,''
1542727027328986854,''
1542727027373162522,''
1542727027420011448,''
1542727027476527161,''
1542727027525296454,''
1542727027580834796,''
1542727027676003631,''
1542727027734900618,''
1542727027823892216,''
1542727027872546782,''
1542727027926626873,''
1542727027971471704,''
1542727028041964790,''
1542727028114985941,''
1542727028187654599,''
1542727028235621679,''
1542727028329700455,''
1542727028377570542,''
1542727028431667335,''
1542727028490276158,''
1542727028539766115,''
1542727028624818030,''
1542727028651557454,''
1542727028727816198,''
1542727028781770582,''
1542727028865570945,''
1542727028885408808,''
1542727028974376019,''
1542727029017321119,''
1542727029073101533,''
1542727029131828911,''
1542727029179064613,''
1542727029253526403,''
1542727029322170119,''
1542727029386341085,''
1542727029477388397,''
1542727029496641621,''
1542727029540338475,''
1542727029637128663,''
1542727029678107761,''
1542727029769511624,''
1542727029843243585,''
1542727029889952819,''
1542727029972184276,''
1542727030039024476,''
1542727030117631904,''
1542727030193206093,''
1542727030231590695,''
1542727030360531996,''
1542727030430049338,''
1542727030491244419,''
1542727030536271476,''
1542727030589055133,''
1542727030644847078,''
1542727030696354710,''
1542727030795624375,''
1542727030840709976,''
1542727030891126763,''
1542727030978729227,''
1542727031047813098,''
1542727031127030948,''
1542727031174866100,''
1542727031234676619,''
1542727031282851197,''
1542727031383602487,''
1542727031429623838,''
1542727031481192771,''
1542727031572735548,''
1542727031616174561,''
1542727031638093374,''
1542727031723863804,''
1542727031789605099,''
1542727031871937389,''
1542727031929479085,''
1542727031976514140,''
1542727032031925016,''
1542727032115835229,''
1542727032153784251,''
1542727032218394522,''
1542727032271095035,''
1542727032326054599,''
1542727032380445440,''
1542727032416260369,''
1542727032473290405,''
1542727032522216936,''
1542727032581330287,''
1542727032631169872,''
1542727032677455638,''
1542727032737027587,''
1542727032785016533,''
1542727032862435873,''
1542727032928404200,''
1542727032973645889,''
1542727033020178120,''
1542727033100791034,''
1542727033165187520,''
1542727033219356604,''
1542727033311381177,''
1542727033358555224,''
1542727033415153930,''
1542727033475511154,''
1542727033551106767,''
1542727033610758649,''
1542727033655838332,''
1542727033715080155,''
1542727033804377104,''
1542727033856694213,''
1542727033904267346,''
1542727033929350834,''
1542727034002871677,''
1542727034051949893,''
1542727034075039690,''
1542727034146996890,''
1542727034216936141,''
1542727034268578552,''
1542727034347174672,''
1542727034506331724,"""contracted_right"""
1542727035941998619,''
1542727036086096895,"""contracted_right"""
1542727037515872521,''
1542727037589450140,''
1542727037649080367,''
1542727037698526339,''
1542727037757285262,''
1542727037846830968,''
1542727037903942577,''
1542727037944774052,''
1542727037969694438,''
1542727038015896953,''
1542727038105914680,''
1542727038156131985,''
1542727038210913359,''
1542727038301185141,''
1542727038357765620,''
1542727038463609956,''
1542727038511898526,''
1542727038610697242,''
1542727038659475819,''
1542727038751466937,''
1542727038802642264,''
1542727038856776097,''
1542727038924869869,''
1542727039000822939,''
1542727039066457342,''
1542727039110613721,''
1542727039159724885,''
1542727039241405177,''
1542727039273982293,''
1542727039348136445,''
1542727039404394236,''
1542727039423735082,''
1542727039470595632,''
1542727039517583679,''
1542727039603848690,''
1542727039649381350,''
1542727039688380601,''
1542727039709803916,''
1542727039789201634,''
1542727039845476750,''
1542727039940345167,''
1542727040023563824,''
1542727040053813357,''
1542727040097632242,''
1542727040170725500,''
1542727040226835584,''
1542727040290768530,''
1542727040334102584,''
1542727040402494563,''
1542727040478506060,''
1542727040579766050,''
1542727040629227137,''
1542727040719915747,''
1542727040746365454,''
1542727040792730394,''
1542727040876832549,''
1542727040942298848,''
1542727041022573249,''
1542727041077654138,''
1542727041164677219,''
1542727041217827184,''
1542727041267848854,''
1542727041297305520,''
1542727041372780399,''
1542727041426783052,''
1542727041490715229,''
1542727041540016500,''
1542727041628302479,''
1542727041678747063,''
1542727041734195438,''
1542727041803662147,''
1542727041869733015,''
1542727041926308913,''
1542727041990750334,''
1542727042060757949,''
1542727042112191735,''
1542727042165543001,''
1542727042254560759,''
1542727043676485142,''
1542727043822135062,"""contracted_right"""
1542727045257733752,''
1542727045399433588,"""contracted_right"""
1542727046801627872,''
1542727046941155179,"""contracted_right"""
1542727048350972797,''
1542727048406178661,''
1542727048495846759,''
1542727048560795173,''
1542727048612279003,''
1542727048691168303,''
1542727048749574484,''
1542727048796231814,''
1542727048892300922,''
1542727048937474551,''
1542727048993870914,''
1542727049044150633,''
1542727049076582740,''
1542727049131676483,''
1542727049186225744,''
1542727049234905332,''
1542727049286895428,''
1542727049364929812,''
1542727049432798456,''
1542727049484565368,''
1542727049560962715,''
1542727049619609925,''
1542727049644358217,''
1542727049719360796,''
1542727049788635945,''
1542727049851450936,''
1542727049931712041,''
1542727049978924525,''
1542727050033278124,''
1542727050124826142,''
1542727050172798281,''
1542727050222458010,''
1542727050283456158,''
1542727050331718272,''
1542727051733376528,''
1542727051873492578,"""contracted_right"""
1542727053321482404,''
1542727053465394194,"""contracted_right"""
1542727054891445944,''
1542727055048946971,"""contracted_right"""
1542727056525405570,''
1542727056591856272,''
1542727056672767140,''
1542727056762374634,''
1542727056789216491,''
1542727056875404497,''
1542727056963466033,''
1542727056987211417,''
1542727057079096674,''
1542727057126618618,''
1542727057183130641,''
1542727057268522803,''
1542727057324522093,''
1542727057394720171,''
1542727057438817405,''
1542727057518628376,''
1542727057586322979,''
1542727057667585715,''
1542727057732364584,''
1542727057780754875,''
1542727057878966003,''
1542727057931797154,''
1542727058016572065,''
1542727058070675019,''
1542727058114859978,''
1542727058166605032,''
1542727058248436191,''
1542727058299675367,''
1542727058354535208,''
1542727058410911798,''
1542727058460272519,''
1542727058510860896,''
1542727058587044468,''
1542727058645532376,''
1542727058704009795,''
1542727058780837918,''
1542727058849466391,''
1542727058899295508,''
1542727058951172646,''
1542727059041455775,''
1542727059088226912,''
1542727059143595584,''
1542727059194454859,''
1542727059284925761,''
1542727059343772463,''
1542727059428115106,''
1542727059490238538,''
1542727059529893964,''
1542727059590337112,''
1542727059639951258,''
1542727059695635998,''
1542727059751257300,''
1542727059782436476,''
1542727059808293916,''
1542727059891548093,''
1542727059940115975,''
1542727059998026730,''
1542727060089999951,''
1542727060146346025,''
1542727060194330639,''
1542727060282996972,''
1542727060308022544,''
1542727060395899358,''
1542727060442698128,''
1542727060497398690,''
1542727060584425225,''
