rosbagTimestamp,data
1542723702604716591,''
1542723702618405395,''
1542723702662054944,''
1542723702681251393,''
1542723702748025905,''
1542723702763813955,''
1542723702807664243,''
1542723702829880550,''
1542723702875727064,''
1542723702954378563,''
1542723702975842080,''
1542723703013620352,''
1542723703059670747,''
1542723703118593282,''
1542723703150633655,''
1542723703172815774,''
1542723703220729509,''
1542723703274103153,''
1542723703310707395,''
1542723703356766159,''
1542723703413583078,''
1542723703460285734,''
1542723703508318383,''
1542723703558062940,''
1542723703604992806,''
1542723703663920946,''
1542723703705983926,''
1542723703755454114,''
1542723703815812031,''
1542723703861383699,''
1542723703909800322,''
1542723703959734071,''
1542723704002720370,''
1542723704044821092,''
1542723704069423941,''
1542723704143393444,''
1542723704197508121,''
1542723704240243524,''
1542723704265032575,''
1542723704333081324,''
1542723704388874370,''
1542723704415011192,''
1542723704448420667,''
1542723704466001824,''
1542723704537886941,''
1542723704596138656,''
1542723704616516645,''
1542723704659423250,''
1542723704704198898,''
1542723704766577877,''
1542723704811084711,''
1542723704897286395,''
1542723704938519163,''
1542723704959618324,''
1542723705000962163,''
1542723705051420891,''
1542723705093569668,''
1542723705149563696,''
1542723705203046783,''
1542723705249534010,''
1542723705298839292,''
1542723705365363734,''
1542723705412286644,''
1542723705504022972,''
1542723705520804233,''
1542723705560560563,''
1542723705599114693,''
1542723705637797819,''
1542723705651035282,''
1542723705707336173,''
1542723705749477305,''
1542723705794530175,''
1542723705844732340,''
1542723705863111061,''
1542723705904001413,''
1542723705946087464,''
1542723705997541537,''
1542723706077136894,''
1542723706102614805,''
1542723706147122473,''
1542723706213782788,''
1542723706250665705,''
1542723706293203130,''
1542723706340396020,''
1542723706383401078,''
1542723706438448273,''
1542723706477423798,''
1542723706525770859,''
1542723706573441799,''
1542723706585927879,''
1542723706597352007,''
1542723706626803793,''
1542723706671910711,''
1542723706707620197,''
1542723706719984877,''
1542723706839725648,"""contracted_left"""
1542723708256601583,''
1542723708273836630,''
