rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1542723979448088338,,1,,1542723979,447540998,"""world""",,,1.39271536661,0.253227841708,1.45,,0.0,0.0,0.0,1.0
1542723979489022223,,2,,1542723979,488648891,"""world""",,,1.39305132837,0.251382310186,1.45,,0.0,0.0,0.0,1.0
1542723979536070312,,3,,1542723979,535655975,"""world""",,,1.39262742542,0.251070518167,1.45,,0.0,0.0,0.0,1.0
1542723979607239167,,4,,1542723979,606844902,"""world""",,,1.39181306301,0.251223039876,1.45,,0.0,0.0,0.0,1.0
1542723979648198799,,5,,1542723979,647794961,"""world""",,,1.39171342896,0.250254291297,1.45,,0.0,0.0,0.0,1.0
1542723979696595534,,6,,1542723979,696321010,"""world""",,,1.39088932448,0.251344638953,1.45,,0.0,0.0,0.0,1.0
1542723979762805741,,7,,1542723979,762221097,"""world""",,,1.39018660117,0.253699070982,1.45,,0.0,0.0,0.0,1.0
1542723979806754204,,8,,1542723979,805151939,"""world""",,,1.38888768938,0.258306228871,1.45,,0.0,0.0,0.0,1.0
1542723979847407084,,9,,1542723979,847013950,"""world""",,,1.38850834646,0.259037758988,1.45,,0.0,0.0,0.0,1.0
1542723979926209681,,10,,1542723979,925889015,"""world""",,,1.38795221078,0.259856547844,1.45,,0.0,0.0,0.0,1.0
1542723979948819830,,11,,1542723979,948431968,"""world""",,,1.38650012537,0.260268269711,1.45,,0.0,0.0,0.0,1.0
1542723979983091369,,12,,1542723979,982789993,"""world""",,,1.38650012537,0.260268269711,1.45,,0.0,0.0,0.0,1.0
1542723980032779698,,13,,1542723980,31594991,"""world""",,,1.38585412896,0.259968925161,1.45,,0.0,0.0,0.0,1.0
1542723980046359913,,14,,1542723980,45104980,"""world""",,,1.38470304185,0.259611999472,1.45,,0.0,0.0,0.0,1.0
1542723980100433438,,15,,1542723980,100171089,"""world""",,,1.38333976757,0.258985451601,1.45,,0.0,0.0,0.0,1.0
1542723980138788955,,16,,1542723980,138540029,"""world""",,,1.38333976757,0.258985451601,1.45,,0.0,0.0,0.0,1.0
1542723980187051026,,17,,1542723980,186726093,"""world""",,,1.38279655324,0.25847129024,1.45,,0.0,0.0,0.0,1.0
1542723980253907017,,18,,1542723980,253581047,"""world""",,,1.38120873037,0.257847076073,1.45,,0.0,0.0,0.0,1.0
1542723980296362383,,19,,1542723980,295861005,"""world""",,,1.37442793515,0.254905772113,1.45,,0.0,0.0,0.0,1.0
1542723980360731216,,20,,1542723980,345979928,"""world""",,,1.37442793515,0.254905772113,1.45,,0.0,0.0,0.0,1.0
1542723980426118830,,21,,1542723980,425163030,"""world""",,,1.34897289147,0.249142556097,1.45,,0.0,0.0,0.0,1.0
1542723980473509740,,22,,1542723980,472878932,"""world""",,,1.33819265771,0.247341810679,1.45,,0.0,0.0,0.0,1.0
1542723980527134328,,23,,1542723980,526849985,"""world""",,,1.32136516249,0.244247912137,1.45,,0.0,0.0,0.0,1.0
1542723980550806518,,24,,1542723980,550507068,"""world""",,,1.29610138,0.239083585068,1.45,,0.0,0.0,0.0,1.0
1542723980586975848,,25,,1542723980,586481094,"""world""",,,1.29610138,0.239083585068,1.45,,0.0,0.0,0.0,1.0
1542723980598695851,,26,,1542723980,598361015,"""world""",,,1.28346479898,0.235915304254,1.45,,0.0,0.0,0.0,1.0
1542723980670252243,,27,,1542723980,669966936,"""world""",,,1.2641581649,0.230479148564,1.45,,0.0,0.0,0.0,1.0
1542723980685253347,,28,,1542723980,684278011,"""world""",,,1.23952405468,0.221886401934,1.45,,0.0,0.0,0.0,1.0
1542723980696970289,,29,,1542723980,696633100,"""world""",,,1.23952405468,0.221886401934,1.45,,0.0,0.0,0.0,1.0
1542723980717320003,,30,,1542723980,717087030,"""world""",,,1.23952405468,0.221886401934,1.45,,0.0,0.0,0.0,1.0
1542723980733901898,,31,,1542723980,733467102,"""world""",,,1.22725159474,0.217320697545,1.45,,0.0,0.0,0.0,1.0
1542723980746939493,,32,,1542723980,746573925,"""world""",,,1.22725159474,0.217320697545,1.45,,0.0,0.0,0.0,1.0
1542723980788688691,,33,,1542723980,788273096,"""world""",,,1.22725159474,0.217320697545,1.45,,0.0,0.0,0.0,1.0
1542723980832189258,,34,,1542723980,831902027,"""world""",,,1.20974701928,0.209454856434,1.45,,0.0,0.0,0.0,1.0
1542723980893265714,,35,,1542723980,892887115,"""world""",,,1.19460983366,0.200560641652,1.45,,0.0,0.0,0.0,1.0
1542723980932103104,,36,,1542723980,931787967,"""world""",,,1.17562084627,0.185991933175,1.45,,0.0,0.0,0.0,1.0
1542723980979281115,,37,,1542723980,978677988,"""world""",,,1.16742391611,0.177084257347,1.45,,0.0,0.0,0.0,1.0
