rosbagTimestamp,data
1542724794727816552,''
1542724794770212001,''
1542724794822605705,''
1542724794849022279,''
1542724794892059672,''
1542724794959863848,''
1542724795023793598,''
1542724795075412877,''
1542724795132028005,''
1542724795171362277,''
1542724795194130807,''
1542724795240934015,''
1542724795286412159,''
1542724795301230848,''
1542724795340354495,''
1542724795385203234,''
1542724795438446740,''
1542724795459325398,''
1542724795501504112,''
1542724795542242347,''
1542724795563151045,''
1542724795594427074,''
1542724795640522438,''
1542724795692165871,''
1542724795714683398,''
1542724795757133721,''
1542724795805593700,''
1542724795850206743,''
1542724795910432221,''
1542724795954680990,''
1542724796002824513,''
1542724796049759124,''
1542724796069036820,''
1542724796131925849,''
1542724796155473916,''
1542724796229580936,''
1542724796268687505,''
1542724796289475059,''
1542724796341083693,''
1542724796387189225,''
1542724796472902355,''
1542724796494838665,''
1542724796533943585,''
1542724796583559525,''
1542724796647491719,''
1542724796692512352,''
1542724796740640628,''
1542724796788200550,''
1542724796846566344,''
1542724796888117874,''
1542724796935436848,''
1542724796994597557,''
1542724797036324368,''
1542724797087089814,''
1542724797147720222,''
1542724797189972156,''
1542724797241108347,''
1542724797302281989,''
1542724797341979024,''
1542724797390661232,''
1542724797439454101,''
1542724797496409949,''
1542724797538918604,''
1542724797587954156,''
1542724797640670169,''
1542724797678332398,''
1542724797728104098,''
1542724797787923896,''
1542724797831159554,''
1542724797880755629,''
1542724797938915739,''
1542724797981027849,''
1542724798019897954,''
1542724798075177067,''
1542724798098259914,''
1542724798139779578,''
1542724798197248296,''
1542724798218232326,''
1542724798257026116,''
1542724798306898502,''
1542724798365865708,''
1542724798409006767,''
1542724798457057470,''
1542724798517105942,''
1542724798560253851,''
1542724798645091764,''
1542724798664429358,''
1542724798703508210,''
1542724798746453285,''
1542724798789304136,''
1542724798813548263,''
1542724798854754533,''
1542724798900095930,''
1542724798930244822,''
1542724798954202790,''
1542724798969378225,''
1542724799010943446,''
1542724799083396291,''
1542724799116468112,''
1542724799159897551,''
1542724799247867857,''
1542724799292126529,''
1542724799342674961,''
1542724799400067268,''
1542724799441195966,''
1542724799465502820,''
1542724799517822168,''
1542724799592691065,''
1542724799650590178,''
1542724799671756670,''
1542724799717299928,''
1542724799794111477,''
1542724799815287317,''
1542724799857810842,''
1542724799928049128,''
1542724799990629797,''
1542724800012236022,''
1542724800092477139,''
1542724800110058743,''
1542724800137915254,''
1542724800179218327,''
1542724800205371337,''
1542724800282845230,''
1542724800329329418,''
1542724800373074752,''
1542724800420987522,''
1542724800444658618,''
1542724800480831792,''
1542724800527570396,''
1542724800575602249,''
1542724800588441818,''
1542724800601176269,''
1542724800640393212,''
1542724800681502458,''
1542724800737574948,''
1542724800764886137,''
1542724800782598324,''
1542724800822253406,''
1542724800868125216,''
1542724800891815812,''
1542724800921385830,''
1542724800945183426,''
1542724801028286339,''
1542724801048774143,''
1542724801078578087,''
1542724801093875980,''
1542724801131087549,''
1542724801143071465,''
1542724801175995626,''
1542724801207626275,''
1542724801244036748,''
1542724801292896454,''
1542724801346803337,''
1542724801385066554,''
1542724801405735076,''
1542724801417392828,''
1542724801486840448,''
1542724801539416397,''
1542724801568806336,''
1542724801614077452,''
1542724801681866025,''
1542724801708910620,''
1542724801744943455,''
1542724801792220249,''
1542724801842959140,''
1542724801855577434,''
1542724801877026674,''
1542724801907912256,''
1542724801955571631,''
1542724802009600093,''
1542724802050690982,''
1542724802101483642,''
1542724802169455580,''
1542724802211175610,''
1542724802258496356,''
1542724802319510384,''
1542724802363697360,''
1542724802445024234,''
1542724802465729670,''
1542724802510037209,''
1542724802600586821,''
1542724802639450631,''
1542724802665310112,''
1542724802754681575,''
1542724802792767052,''
1542724802811896619,''
1542724802846611384,''
1542724802883610942,''
1542724802925222801,''
1542724802968244882,''
1542724803013823862,''
1542724803054186229,''
1542724803095824578,''
1542724803119987494,''
1542724803134934146,''
1542724803174429485,''
1542724803222718581,''
1542724803252922053,''
1542724803296908799,''
1542724803341457374,''
1542724803388647685,''
1542724803440947256,''
1542724803482528773,''
1542724803519281480,''
1542724803541358629,''
1542724803590193048,''
1542724803605273827,''
1542724803646159259,''
1542724803740713910,''
1542724803784563629,''
1542724803832782811,''
1542724803889542930,''
1542724803922630811,''
1542724803943807261,''
1542724803981265773,''
1542724804040382712,''
1542724804083946698,''
1542724804131059352,''
1542724804274548925,"""contracted_right"""
1542724805674799006,''
1542724807109272863,''
1542724807132448190,''
1542724807171122543,''
1542724807207910723,''
1542724807271229610,''
1542724807315968328,''
1542724807357179183,''
1542724807377724330,''
1542724807461556407,''
1542724807511331717,''
1542724807559956617,''
1542724807577453868,''
1542724807620793438,''
1542724807666441279,''
1542724807716690725,''
1542724807738148501,''
1542724807778939950,''
1542724807824418017,''
1542724807872531291,''
1542724807955405504,''
1542724807972332766,''
1542724808016748099,''
1542724808080265273,''
1542724808126109188,''
1542724808170318233,''
1542724808218784838,''
1542724808284293594,''
1542724808323802380,''
1542724808352333160,''
1542724808370978648,''
1542724808422001562,''
1542724808457586265,''
1542724808477287856,''
1542724808528565877,''
1542724808579884266,''
1542724808596982197,''
1542724808666949914,''
1542724808728178433,''
1542724808770900737,''
1542724808794232331,''
1542724808839716794,''
1542724808877634224,''
1542724808900345866,''
1542724808936256845,''
1542724808947686409,''
1542724808982108158,''
1542724809026250676,''
1542724809051111346,''
1542724809084819173,''
1542724809132069300,''
1542724809176423618,''
1542724809207774091,''
1542724809248741378,''
1542724809294611489,''
1542724809333549317,''
1542724809383768058,''
1542724809412657285,''
1542724809423597612,''
1542724809436875511,''
1542724809475135782,''
1542724809536636633,''
1542724809575826117,''
1542724809615074260,''
1542724809638599384,''
1542724809683132854,''
1542724809721819385,''
1542724809770306365,''
1542724809788365984,''
1542724809826445155,''
1542724809877359987,''
1542724809960462924,''
1542724809979696198,''
1542724810024603530,''
1542724810102956672,''
1542724810115983406,''
1542724810157542436,''
1542724810201264054,''
1542724810253828396,''
1542724810279157504,''
1542724810317121119,''
1542724810372283650,''
1542724810430924903,''
1542724810509904775,''
1542724810555488713,''
1542724810582060247,''
1542724810627554978,''
1542724810670702692,''
1542724810738777698,''
1542724810816538435,''
1542724810855552525,''
1542724810912474325,''
1542724810929583966,''
1542724810969828814,''
1542724811014455554,''
1542724811076122546,''
1542724811108770379,''
1542724811143369070,''
1542724811176328534,''
1542724811237898200,''
1542724811266361403,''
1542724811305742291,''
1542724811356787306,''
1542724811399639884,''
1542724811419653725,''
1542724811483846037,''
1542724811529200056,''
1542724811589216017,''
1542724811624344451,''
1542724811661397577,''
1542724811683389459,''
1542724811720191171,''
1542724811793312710,''
1542724811840535200,''
1542724811889966747,''
1542724811913345435,''
1542724811957713659,''
1542724812030871138,''
1542724812076374673,''
1542724812120228642,''
1542724812180376043,''
1542724812220185674,''
1542724812274094860,''
1542724812316988621,''
1542724812342903411,''
1542724812388358529,''
1542724812433028104,''
1542724812483594322,''
1542724812498182462,''
1542724812537061311,''
1542724812587195731,''
1542724812653301705,''
1542724812692135638,''
1542724812731578657,''
1542724812793256171,''
1542724812827280825,''
1542724812873443698,''
1542724812925463335,''
1542724812981367500,''
1542724813018792757,''
1542724813043398521,''
1542724813079027812,''
1542724813123881320,''
1542724813167951067,''
1542724813223763119,''
1542724813261885851,''
1542724813286833207,''
1542724813362032574,''
1542724813401222152,''
1542724813414522566,''
1542724813465457923,''
1542724813483580196,''
1542724813521829116,''
1542724813563848794,''
1542724813595921388,''
1542724813616644916,''
1542724813677521301,''
1542724813719023476,''
1542724813735535076,''
1542724813776522247,''
1542724813810799594,''
1542724813865395791,''
1542724813910615294,''
1542724813962925795,''
1542724814009797794,''
1542724814023214186,''
1542724814051207691,''
1542724814068932711,''
1542724814093711391,''
1542724814112270304,''
1542724814157558156,''
1542724814203538491,''
1542724814267466797,''
1542724814303860287,''
1542724815743777530,''
1542724815865911686,"""contracted_right"""
1542724817273257337,''
1542724817287048025,''
1542724817322031861,''
1542724817334711767,''
1542724817399076869,''
1542724817443677093,''
1542724817487993587,''
1542724817545568540,''
1542724817585353433,''
1542724817624681907,''
1542724817674728053,''
1542724817697083899,''
1542724817735151795,''
1542724817753859814,''
1542724817796746814,''
1542724817834572881,''
1542724817890800567,''
1542724817920863241,''
1542724817935960598,''
1542724817952713054,''
1542724817989308214,''
1542724818032940290,''
1542724818052051732,''
1542724818086486051,''
1542724818125768461,''
1542724818146308578,''
1542724818231915512,''
1542724818280311977,''
1542724818292873949,''
1542724818345411304,''
1542724818373827725,''
1542724818388773381,''
1542724818514237504,''
1542724818572816989,''
1542724818612733209,''
1542724818658636980,''
1542724818708265610,''
1542724818727877549,''
1542724818789422934,''
1542724818857999183,''
1542724818900279305,''
1542724818958619093,''
1542724818973327167,''
1542724819004865198,''
1542724819027259249,''
1542724819064612768,''
1542724819113547099,''
1542724819155495102,''
1542724819177390974,''
1542724819224704199,''
1542724819277976495,''
1542724819315423442,''
1542724819456881382,"""contracted_left"""
1542724820889514389,''
1542724821016571036,"""contracted_left"""
1542724822439126070,''
1542724822452472461,''
1542724822475467654,''
1542724822507389279,''
1542724822542919661,''
1542724822564376778,''
1542724822647617251,''
1542724822665791263,''
1542724822705920899,''
1542724822754303803,''
1542724822811213645,''
1542724822850652179,''
1542724822899063197,''
1542724822949919272,''
1542724823003209605,''
1542724823045137715,''
1542724823099649790,''
1542724823151465071,''
1542724823191336524,''
1542724823241327328,''
1542724823298958844,''
1542724823325112955,''
1542724823365308413,''
1542724823453014374,''
1542724823495198310,''
1542724823543138335,''
1542724823601126086,''
1542724823640216571,''
1542724823661425082,''
1542724823706058591,''
1542724823753437633,''
1542724823795938411,''
1542724823840401726,''
1542724823902351755,''
1542724823944149962,''
1542724823991971039,''
1542724824040005651,''
1542724824105336293,''
1542724824174960087,''
1542724824226505588,''
1542724824249550676,''
1542724824283649751,''
1542724824305620473,''
1542724824387508414,''
1542724824429102216,''
1542724824477369053,''
1542724824533574408,''
1542724824573717367,''
1542724824597863849,''
1542724824640165723,''
1542724824714366737,''
1542724824764314865,''
1542724824785115070,''
1542724824822843529,''
1542724824871440408,''
1542724824934793160,''
1542724824977456669,''
1542724825055794296,''
1542724825080631993,''
1542724825125359527,''
1542724825174050403,''
1542724825219944119,''
1542724825271083511,''
1542724825320901528,''
1542724825337333883,''
1542724825406100717,''
1542724825459707443,''
1542724825479182382,''
1542724826910729376,''
1542724827046069772,"""contracted_left"""
1542724828466225474,''
1542724828609628537,"""contracted_left"""
1542724830055192271,''
1542724830099194417,''
1542724830117430664,''
1542724830151691422,''
1542724830195997953,''
1542724830237608119,''
1542724830250028873,''
1542724830291237412,''
1542724830310616337,''
1542724830347303008,''
1542724830394799758,''
1542724830449364127,''
1542724830470015962,''
1542724830512421223,''
1542724830561512505,''
1542724830627722890,''
1542724830658492464,''
1542724830693715781,''
1542724830735491442,''
1542724830794089558,''
1542724830823005063,''
1542724830863942583,''
1542724830911266262,''
1542724830988436243,''
1542724831013108437,''
1542724831047311117,''
1542724831086009197,''
1542724831109344192,''
1542724831185734215,''
1542724831215793495,''
1542724831227042156,''
1542724831238021916,''
1542724831278123451,''
1542724831295902814,''
1542724831329907759,''
1542724831377710144,''
1542724831441092237,''
1542724831485907289,''
1542724831530598714,''
1542724831572397543,''
1542724831584278683,''
1542724831594506240,''
1542724831604330695,''
1542724831647686222,''
1542724831736354832,''
1542724831782491150,''
1542724831836203182,''
1542724831899426749,''
1542724831942193062,''
1542724831992639605,''
1542724832056725487,''
1542724832100025473,''
1542724832174458500,''
1542724832230683112,''
1542724832255756562,''
1542724832327264942,''
1542724832388956462,''
1542724832431655137,''
1542724832462098849,''
1542724832528679334,''
1542724832552253369,''
1542724832594061404,''
1542724832639245018,''
1542724832701074475,''
1542724832744565254,''
1542724832818445914,''
1542724832834165435,''
1542724832851991902,''
1542724832893461947,''
1542724832936701273,''
1542724832984012524,''
1542724833053392037,''
1542724833071664046,''
1542724833132285753,''
1542724833173693382,''
1542724833222614313,''
1542724833283159345,''
1542724833330880400,''
1542724833381115007,''
1542724833420745647,''
1542724833464730291,''
1542724833485138348,''
1542724833524695811,''
1542724833602504244,''
1542724833629559757,''
1542724833665876050,''
1542724833714900912,''
1542724833759618489,''
1542724833811204416,''
1542724833825921584,''
1542724833839191938,''
1542724833870852406,''
1542724833909497227,''
1542724833970309750,''
1542724834016533499,''
1542724834068802635,''
1542724834115069774,''
1542724834177761383,''
1542724834217302703,''
1542724834235751964,''
1542724834303117304,''
1542724834348715849,''
1542724834380192432,''
1542724834415547790,''
1542724834435053128,''
1542724834472896287,''
1542724834496782942,''
1542724834516505094,''
1542724834558935074,''
1542724834580609725,''
1542724834619736539,''
1542724834673305092,''
1542724834726516032,''
1542724834763441836,''
1542724834812454641,''
1542724834854412154,''
1542724834868744011,''
1542724834881058698,''
1542724834902971211,''
1542724834926191238,''
1542724834972767223,''
1542724835030301303,''
1542724835068041339,''
1542724835115437758,''
1542724835165410957,''
1542724835210482136,''
1542724835272940427,''
1542724835311823789,''
1542724835354355792,''
1542724835412861705,''
1542724835455151039,''
1542724835480306846,''
1542724835557338244,''
1542724835580853339,''
1542724835608805890,''
1542724835632125679,''
1542724835707553329,''
1542724835721156304,''
1542724835773338635,''
1542724835792696915,''
